gr,cl,English,Math,Japanese,Science,Social Studies,Art,Music,Physical_Education,Technology,Home_Economics,Integrated_Studies,Moral_Education
3,1,Teacher6,Teacher9,Teacher15,Teacher14,Teacher18,Teacher0,Teacher1,Teacher2,Teacher5,Teacher21,Teacher9,Teacher9
3,2,Teacher6,Teacher9,Teacher15,Teacher14,Teacher20,Teacher0,Teacher1,Teacher2,Teacher5,Teacher21,Teacher2,Teacher2
3,3,Teacher6,Teacher11,Teacher15,Teacher13,Teacher18,Teacher0,Teacher1,Teacher2,Teacher5,Teacher21,Teacher6,Teacher6
3,4,Teacher6,Teacher9,Teacher15,Teacher13,Teacher18,Teacher0,Teacher1,Teacher2,Teacher5,Teacher21,Teacher18,Teacher18
3,5,Teacher6,Teacher9,Teacher15,Teacher13,Teacher18,Teacher0,Teacher1,Teacher2,Teacher5,Teacher21,Teacher15,Teacher15
2,1,Teacher7,Teacher10,Teacher16,Teacher12,Teacher19,Teacher0,Teacher1,Teacher3,Teacher5,Teacher21,Teacher3,Teacher3
2,2,Teacher7,Teacher10,Teacher16,Teacher12,Teacher19,Teacher0,Teacher1,Teacher3,Teacher5,Teacher21,Teacher19,Teacher19
2,3,Teacher7,Teacher10,Teacher16,Teacher12,Teacher19,Teacher0,Teacher1,Teacher3,Teacher5,Teacher21,Teacher10,Teacher10
2,4,Teacher7,Teacher10,Teacher16,Teacher12,Teacher19,Teacher0,Teacher1,Teacher3,Teacher5,Teacher21,Teacher7,Teacher7
1,1,Teacher8,Teacher11,Teacher17,Teacher13,Teacher20,Teacher0,Teacher1,Teacher4,Teacher5,Teacher21,Teacher11,Teacher11
1,2,Teacher8,Teacher11,Teacher17,Teacher13,Teacher20,Teacher0,Teacher1,Teacher4,Teacher5,Teacher21,Teacher17,Teacher17
1,3,Teacher8,Teacher11,Teacher17,Teacher14,Teacher20,Teacher0,Teacher1,Teacher4,Teacher5,Teacher21,Teacher14,Teacher14
1,4,Teacher8,Teacher11,Teacher17,Teacher14,Teacher20,Teacher0,Teacher1,Teacher4,Teacher5,Teacher21,Teacher8,Teacher8
